               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.014996,           0.0020085,            0.012048,             0.80477,             0.92223,             0.89829,             0.71035,           0.0053958,           0.0016712,           0.0045845,            0.070349,           0.0032946,           0.0032946
                   1,            0.017383,           0.0020304,            0.013854,             0.80355,             0.80681,             0.87443,             0.63712,           0.0069104,             0.00183,           0.0058475,             0.04013,           0.0064092,           0.0064092
                   2,            0.016893,           0.0022361,             0.01522,             0.68872,              0.7358,             0.76608,             0.54712,           0.0077064,           0.0020348,           0.0086773,           0.0096914,           0.0093038,           0.0093038
                   3,            0.018248,           0.0023695,            0.020507,             0.51677,               0.634,             0.60565,             0.43345,           0.0075756,           0.0023327,            0.012143,             0.00901,             0.00901,             0.00901
                   4,            0.018508,           0.0024051,            0.022569,             0.48912,             0.67401,             0.58661,             0.33603,           0.0099876,           0.0023981,            0.012119,             0.00901,             0.00901,             0.00901
                   5,            0.020008,           0.0024143,             0.01855,             0.62385,             0.70984,             0.71801,             0.45291,           0.0089438,           0.0024609,            0.008943,             0.00868,             0.00868,             0.00868
                   6,            0.018617,           0.0024826,             0.02019,             0.54725,              0.6497,             0.61352,             0.36181,           0.0098973,           0.0031244,            0.011696,             0.00835,             0.00835,             0.00835
                   7,            0.019237,           0.0023833,             0.02025,             0.53897,             0.71362,             0.69048,             0.44609,           0.0088404,           0.0021566,             0.01084,             0.00802,             0.00802,             0.00802
                   8,            0.018595,           0.0023124,            0.018361,             0.63792,             0.74056,              0.7533,             0.49713,           0.0086244,           0.0020716,           0.0087903,             0.00769,             0.00769,             0.00769
                   9,            0.016848,           0.0023632,            0.019837,             0.59779,               0.718,             0.70708,             0.45998,           0.0085065,           0.0021896,           0.0094465,             0.00736,             0.00736,             0.00736
                  10,            0.018225,            0.002259,            0.018993,             0.53742,             0.73454,             0.62725,             0.40262,           0.0092289,           0.0025544,            0.011303,             0.00703,             0.00703,             0.00703
                  11,            0.017449,           0.0022262,            0.019695,             0.61152,             0.67851,             0.68429,             0.47317,           0.0081186,           0.0022334,           0.0099267,              0.0067,              0.0067,              0.0067
                  12,            0.017674,           0.0022615,            0.020207,             0.53149,             0.67665,             0.63301,             0.42041,           0.0086044,           0.0022339,            0.010776,             0.00637,             0.00637,             0.00637
                  13,            0.017624,            0.002343,            0.017319,             0.66506,               0.735,             0.70308,             0.45403,           0.0084703,            0.002268,            0.010352,             0.00604,             0.00604,             0.00604
                  14,            0.016927,           0.0022092,            0.018463,              0.5131,             0.56114,             0.58273,             0.34693,            0.010866,           0.0032654,            0.013239,             0.00571,             0.00571,             0.00571
                  15,            0.016677,           0.0022569,            0.017748,             0.65234,             0.75543,             0.75597,             0.52046,           0.0075902,           0.0020966,           0.0088616,             0.00538,             0.00538,             0.00538
                  16,            0.015626,           0.0021567,            0.014821,             0.69039,             0.81526,             0.80214,             0.57092,           0.0072369,           0.0019222,           0.0076072,             0.00505,             0.00505,             0.00505
                  17,            0.015088,           0.0020511,            0.014047,             0.76457,             0.83847,             0.85176,             0.56342,           0.0076096,           0.0018873,            0.006212,             0.00472,             0.00472,             0.00472
                  18,            0.016471,           0.0020617,             0.01518,              0.7856,             0.80356,              0.8399,             0.58394,           0.0074004,           0.0017968,           0.0064447,             0.00439,             0.00439,             0.00439
                  19,            0.015265,           0.0020382,            0.013928,             0.78205,             0.85441,             0.86538,             0.65714,           0.0060639,           0.0016794,           0.0059674,             0.00406,             0.00406,             0.00406
                  20,            0.014921,           0.0020577,            0.013973,             0.78418,             0.85552,             0.86281,             0.65455,           0.0061939,           0.0016744,           0.0061584,             0.00373,             0.00373,             0.00373
                  21,            0.014562,           0.0020755,            0.012407,              0.7882,             0.86702,             0.87553,              0.6558,           0.0065686,           0.0016716,           0.0053853,              0.0034,              0.0034,              0.0034
                  22,            0.014064,           0.0019696,             0.01101,             0.77043,             0.81717,             0.83128,             0.61624,           0.0067106,           0.0017778,            0.006012,             0.00307,             0.00307,             0.00307
                  23,            0.013029,           0.0019273,           0.0095596,             0.80721,             0.90653,             0.90553,             0.71289,           0.0056531,            0.001561,           0.0043525,             0.00274,             0.00274,             0.00274
                  24,            0.013206,           0.0019032,            0.010587,             0.84879,             0.91855,             0.90571,               0.728,           0.0053295,           0.0014885,           0.0039854,             0.00241,             0.00241,             0.00241
                  25,            0.013113,           0.0018468,            0.010773,             0.84823,             0.93657,             0.92604,             0.72651,           0.0055876,           0.0015319,           0.0040932,             0.00208,             0.00208,             0.00208
                  26,             0.01243,           0.0019659,            0.011019,              0.8552,             0.92596,             0.91918,             0.71932,           0.0053798,            0.001533,           0.0034169,             0.00175,             0.00175,             0.00175
                  27,            0.011856,           0.0018455,           0.0094419,             0.86692,             0.90785,             0.93102,             0.74162,           0.0054743,           0.0014464,           0.0037458,             0.00142,             0.00142,             0.00142
                  28,            0.012083,           0.0018044,            0.010168,             0.88158,             0.91446,             0.94677,             0.75997,           0.0055904,           0.0014897,           0.0038262,             0.00109,             0.00109,             0.00109
                  29,            0.011733,           0.0018663,           0.0084343,             0.89406,             0.92426,             0.94274,              0.7469,           0.0054577,           0.0014542,           0.0032658,             0.00076,             0.00076,             0.00076
